epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,346.051,1.26475,3.85474,1.59621,0.2321,0.44635,0.25524,0.16178,1.21559,2.24801,1.63237,0.00499199,0.00499199,0.00499199
2,589.605,1.30041,3.01894,1.53609,0.1699,0.27124,0.15678,0.07907,1.67491,2.82612,2.10901,0.00989307,0.00989307,0.00989307
3,819.15,1.37409,2.74804,1.57219,0.30446,0.45994,0.32648,0.20374,1.27515,2.25108,1.70334,0.009802,0.009802,0.009802
4,1056.38,1.31771,2.38833,1.5183,0.30821,0.49772,0.37545,0.23237,1.30991,1.97864,1.74579,0.009703,0.009703,0.009703
5,1283.73,1.27004,2.15068,1.47861,0.41616,0.53748,0.46603,0.2798,1.37006,1.74294,1.73026,0.009604,0.009604,0.009604
6,1628.86,1.22656,1.99752,1.45021,0.51432,0.63799,0.57902,0.378,1.18326,1.42804,1.58242,0.009505,0.009505,0.009505
7,2026.79,1.19708,1.89017,1.4229,0.53335,0.64502,0.61784,0.4292,1.09404,1.32155,1.48053,0.009406,0.009406,0.009406
8,2269.02,1.17004,1.79857,1.40107,0.53334,0.6728,0.64028,0.44817,1.07124,1.25178,1.45999,0.009307,0.009307,0.009307
9,2483.54,1.13933,1.71562,1.38024,0.50727,0.65598,0.63629,0.45918,1.01867,1.23408,1.42584,0.009208,0.009208,0.009208
10,2695.95,1.11022,1.65974,1.36303,0.59894,0.68738,0.68188,0.49799,1.02245,1.12043,1.39821,0.009109,0.009109,0.009109
11,2910.14,1.1087,1.61457,1.35705,0.56161,0.69431,0.6939,0.50934,0.97973,1.13061,1.37425,0.00901,0.00901,0.00901
12,3125.44,1.08267,1.57121,1.34391,0.60212,0.72642,0.72274,0.53673,0.96106,1.04328,1.36111,0.008911,0.008911,0.008911
13,3338.63,1.07117,1.53826,1.33702,0.63543,0.72687,0.72165,0.53638,0.95451,1.04979,1.35257,0.008812,0.008812,0.008812
14,3559.4,1.05759,1.49546,1.3217,0.62447,0.73023,0.72517,0.54182,0.9392,1.00498,1.33674,0.008713,0.008713,0.008713
15,3780.48,1.04508,1.47084,1.31498,0.66265,0.72806,0.73587,0.54913,0.95601,1.00242,1.34135,0.008614,0.008614,0.008614
16,3997.34,1.03609,1.44081,1.30754,0.62836,0.76152,0.74128,0.55542,0.93221,0.97685,1.342,0.008515,0.008515,0.008515
17,4211.51,1.03097,1.41532,1.3048,0.64185,0.79017,0.74995,0.57234,0.90075,0.93047,1.30045,0.008416,0.008416,0.008416
18,4426.89,1.00783,1.38575,1.28949,0.6653,0.77995,0.76336,0.58632,0.87839,0.87452,1.28694,0.008317,0.008317,0.008317
19,4642.13,1.013,1.38245,1.29206,0.68314,0.76896,0.77312,0.59601,0.86493,0.85698,1.27489,0.008218,0.008218,0.008218
20,4855.37,1.00635,1.35175,1.28714,0.67091,0.79147,0.77776,0.60068,0.88058,0.85879,1.2818,0.008119,0.008119,0.008119
21,5073.73,0.99327,1.32533,1.28042,0.68065,0.79717,0.7784,0.60018,0.86648,0.87021,1.28638,0.00802,0.00802,0.00802
